Day,Video,Droplet,Ionized,Video T(m:s),1F(x) m,1F(t) s,1R(x) m,1R(t) s,2F(x) m,2F(t) s,2R(x) m,2R(t) s,3F(x) m,3F(t) s,3R(x) m,3R(t) s,Vf1,Vr1,Vf2,Vr2,Vf3,Vr3,vf av,vf stdev,vr av,vr stdev,,,,,,Volts V,Temp T,,,,
,,13,1,C,5.00E-04,7.65,5.00E-04,16.22,5.00E-04,8,5.00E-04,17.17,5.00E-04,9.52,5.00E-04,3.43,6.54E-05,3.08E-05,6.25E-05,2.91E-05,5.25E-05,1.46E-04,6.01E-05,6.74E-06,6.86E-05,6.69E-05,,,,,,501,,,,,
,,13,2,C,5.00E-04,7.48,5.00E-04,14.39,5.00E-04,8.65,5.00E-04,15.09,4.00E-04,6.83,5.00E-04,17.83,6.68E-05,3.47E-05,5.78E-05,3.31E-05,5.86E-05,2.80E-05,6.11E-05,5.01E-06,3.20E-05,3.50E-06,,,,,,501,,,,,
,,14,0,C,5.00E-04,9.78,5.00E-04,11,5.00E-04,8.3,5.00E-04,12.52,5.00E-04,10,5.00E-04,9.96,5.11E-05,4.55E-05,6.02E-05,3.99E-05,5.00E-05,5.02E-05,5.38E-05,5.62E-06,4.52E-05,5.14E-06,,,,,,501,,,,,
,5,15,0,C,5.00E-04,19.26,5.00E-04,2.39,5.00E-04,20.17,5.00E-04,2.26,5.00E-04,19.43,5.00E-04,1.22,2.60E-05,2.09E-04,2.48E-05,2.21E-04,2.57E-05,4.10E-04,2.55E-05,6.21E-07,2.80E-04,1.13E-04,,,,,,501,,,,,
,,15,1,C,5.00E-04,16.13,5.00E-04,5.43,5.00E-04,19.61,5.00E-04,0.65,5.00E-04,14.87,5.00E-04,0.65,3.10E-05,9.21E-05,2.55E-05,7.69E-04,3.36E-05,7.69E-04,3.00E-05,4.15E-06,5.44E-04,3.91E-04,,,,,,501,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,501,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,5.00E-04,,,,,,,,,,,,,,,,,,,,,,
