Droplet ,Inonized,1F(x) m ,1F(t) m ,1R(x) s,1R(t) s,2F(x) m ,2F(t) m ,2R(x) s,2R(t) s,3F(x) m ,3F(t) m ,3R(x) s,3R(t) s,,,,,,
,,,,,,,,,,,,,,,,,F= Fall,E = 0 ,Grounded
,,,,,,,,,,,,,,,,,R= Rise ,E ? 0 ,Voltage applied
